;original;new
1;349773 431746;53.7796073481086, -2.76368907242085
2;349773 431746;53.7796073481086, -2.76368907242085
3;349773 431746;53.7796073481086, -2.76368907242085
4;350813 431485;53.7773611916579, -2.74786656098025
5;351640 433695;53.7973006072232, -2.73566595343055
6;353774 434033;53.8005327203974, -2.70332190158812
7;352192 433773;53.7980527390262, -2.72729856207594
8;349266 432443;53.7858221373988, -2.77149711212928
9;349844 432793;53.78902378298, -2.76278244252914
10;350284 432981;53.790755680664, -2.75613486382168
11;350763 433394;53.7945130290748, -2.74893080824148
12;350720 433318;53.7938259231826, -2.74957133190561
13;350731 433321;53.79385392864, -2.74940484398653
14;350818 433404;53.7946081136828, -2.74809755071271
15;351972 433666;53.7970707986861, -2.73062156569665
16;351315 433448;53.7950503911239, -2.74056041629516
17;351315 433448;53.7950503911239, -2.74056041629516
18;351315 433448;53.7950503911239, -2.74056041629516
19;349905 432642;53.7876726072462, -2.76183203748673
20;349776 433228;53.7929266285043, -2.76388554106435
21;350769 433186;53.7926442618836, -2.74880642464707
22;350442 433134;53.7921458224429, -2.75376142377183
23;350055 432730;53.788477925397, -2.75956982131562
24;348972 433282;53.7933335504224, -2.77609806687879
25;350627 433643;53.7967379237422, -2.75103517524171
26;350350 433678;53.7970260590553, -2.75524569061565
27;354022 434375;53.8036283979334, -2.69960805719577
28;354022 434375;53.8036283979334, -2.69960805719577
29;356658 435959;53.818091205561, -2.6598098542568
30;356658 435959;53.818091205561, -2.6598098542568
31;356658 435959;53.818091205561, -2.6598098542568
32;356658 435959;53.818091205561, -2.6598098542568
33;359707 437318;53.8305509591393, -2.61367973422163
34;359855 437339;53.8307511796581, -2.61143396724955
35;355367 432038;53.7827424313839, -2.67884791859321
36;355101 429809;53.762686689537, -2.68255932207446
37;351755 431724;53.7795974743259, -2.73361099555278
38;351378 430189;53.7657669053239, -2.73908907814072
39;354943 430319;53.7672565697841, -2.68503049163807
40;353922 429074;53.755977802254, -2.70033234285371
41;353925 429112;53.75631958729, -2.70029252952959
42;355375 430193;53.7661614411936, -2.67845895200764
43;353934 429148;53.7566439293225, -2.70016142210754
44;353677 429163;53.7567559022821, -2.70406126729677
45;354311 429370;53.7586723931233, -2.69447686354851
46;354501 429287;53.7579431080983, -2.69158297122977
47;354447 429428;53.7592055960438, -2.69242279944576
48;351554 432624;53.7876672775114, -2.73680269069735
49;350722 431453;53.7770649774724, -2.74924218283127
50;351708 436176;53.8196041777745, -2.73502378184645
51;354730 432137;53.783577039741, -2.68852908062944
52;352553 435026;53.8093468616529, -2.7220118837589
53;359833 437667;53.8336973390215, -2.61181118495157
54;358819 434028;53.800912651665, -2.62672931008997
55;355743 436983;53.8272169212152, -2.67385458141492
56;353591 435582;53.8144376506831, -2.70633418553861
57;351588 436572;53.8231519135916, -2.73690884771937
58;358129 434235;53.8027178203547, -2.63723303784286
59;359626 437358;53.8309041509315, -2.61491560829142
60;355408 432974;53.7911581046087, -2.67836147753695
61;353746 429044;53.7556925526037, -2.70299696361733
62;356695 430824;53.7719441809147, -2.65852428362765
63;354452 429428;53.759206034208, -2.69234696605975
64;356837 431293;53.7761710898029, -2.65643573879911
65;351456 430240;53.7662325464218, -2.73791394454679
66;354037 430756;53.7711046845032, -2.69883936698809
67;354103 429917;53.7635701458611, -2.6977130057816
68;354016 429630;53.7609830891764, -2.69898978777715
69;354103 429917;53.7635701458611, -2.6977130057816
70;354064 429703;53.7616434095043, -2.69827264561489
71;353925 429978;53.7641026233346, -2.70042207708493
72;354098 429276;53.75780881688, -2.69769331419583
73;354509 429522;53.7600558374792, -2.69149634879461
74;351721 436186;53.8196952597075, -2.73482790639892
75;352082 434580;53.8052952841497, -2.72909427745145
76;359422 434554;53.8056875463791, -2.61764409967878
77;357975 434378;53.8039905660209, -2.63959071586961
78;353692 435632;53.8148960387677, -2.70480788420967
79;357911 434565;53.8056660185722, -2.64058805637304
80;348856 433325;53.7937085853503, -2.77786594835728
81;348575 433368;53.7940672800794, -2.78213838819423
82;348236 433411;53.7944200438831, -2.78729128465767
